Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PP320358,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,G50_TH_2021,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2021,,,"Canine kobuvirus isolate G50_TH_2021 polyprotein gene, complete cds"
PP320359,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,S76_TH_2021,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2021,,,"Canine kobuvirus isolate S76_TH_2021 polyprotein gene, complete cds"
PP320360,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,S81_TH_2021,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2021,,,"Canine kobuvirus isolate S81_TH_2021 polyprotein gene, complete cds"
PP320361,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,F8_TH_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate F8_TH_2022 polyprotein gene, complete cds"
PP320362,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V5_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V5_VN_2022 polyprotein gene, complete cds"
PP320363,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V25_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V25_VN_2022 polyprotein gene, complete cds"
PP320364,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V91_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V91_VN_2022 polyprotein gene, complete cds"
PP320365,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V156_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V156_VN_2022 polyprotein gene, complete cds"
PP320366,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V162_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V162_VN_2022 polyprotein gene, complete cds"
PP320367,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V178_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V178_VN_2022 polyprotein gene, complete cds"
PP320368,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V180_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V180_VN_2022 polyprotein gene, complete cds"
PP320369,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V194_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V194_VN_2022 polyprotein gene, complete cds"
PP320370,Canine kobuvirus,GenBank,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2/17/24,V196_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V196_VN_2022 polyprotein gene, complete cds"
PP171443,Porcine kobuvirus,GenBank,,,"Bhat,S., Sircar,S., Vinodhkumar,O., Dhama,K., De,U., Singh,A., Singh,R., Malik,Y.S.","Indian Veterinary Research Institute, Division of Biological Standardization",India,1/30/24,KER-204,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8087,partial,,,,India,India,,Sus scrofa,feces,2015,,,"Porcine kobuvirus isolate KER-204 polyprotein gene, complete cds"
OR682616,Caprine kobuvirus,GenBank,,,"YuTing,C.","Southwest Minzu University, Department of Animal Husbandry and Veterinary Medicine",China,11/8/23,Caprine/SWUN/F1/2022,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8152,complete,,,,China,China,,Capra hircus,feces,2022,,,"Caprine kobuvirus isolate Caprine/SWUN/F1/2022, complete genome"
OR682617,Caprine kobuvirus,GenBank,,,"YuTing,C.","Southwest Minzu University, Department of Animal Husbandry and Veterinary Medicine",China,11/8/23,Caprine/SWUN/F2/2022,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8197,complete,,,,China,China,,Capra hircus,feces,2022,,,"Caprine kobuvirus isolate Caprine/SWUN/F2/2022, complete genome"
OR364986,Porcine kobuvirus,GenBank,,,"Zang,Y., Chen,N.","Yangzhou University, Preventive Veterinary Medicine",China,10/2/23,JSYZ1806-158,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8056,partial,,,,China: Jiangsu,China,,Sus scrofa,,6/2/18,,,"Porcine kobuvirus isolate JSYZ1806-158, partial genome"
OR364987,Porcine kobuvirus,GenBank,,,"Zang,Y., Chen,N.","Yangzhou University, Preventive Veterinary Medicine",China,10/2/23,GDCZ2202-1606,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8056,partial,,,,China: Guangdong,China,,Sus scrofa,,2/27/22,,,"Porcine kobuvirus isolate GDCZ2202-1606, partial genome"
OQ758029,Kobuvirus sp.,GenBank,,,"Boros,A., Pankovics,P., Laszlo,Z., Urban,P., Herczeg,R., Gaspar,G., Toth,F., Reuter,G.","Medical School, University of Pecs, Medical Microbiology and Immunology",Hungary,9/11/23,,Kobuvirus sp.,Kobuvirus,Picornaviridae,ssRNA(+),8446,complete,,,1,Hungary,Hungary,,Capra hircus,feces,2020,,,"Kobuvirus sp. strain goat/KoV/KT-G4/2020-HUN, complete genome"
OQ595081,Porcine kobuvirus,GenBank,,,"Brnic,D., Lojkic,I., Mikuletic,T., Steyer,A.","Croatian Veterinary Institute, Virology",Croatia,7/19/23,,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8155,complete,,,,Croatia,Croatia,,Sus scrofa,feces,2017,,,"Porcine kobuvirus strain 06-2017-Medj, complete genome"
OQ808805,Caprine kobuvirus,GenBank,,,"Huang,M., Gan,J., Xu,Z., Guo,Y., Chen,Z., Gao,G.F., Liang,H., Liu,W.J.","Institute for Viral Disease Control and Prevention, China CDC, Department of George Gao",China,7/12/23,CKoV-China/GCCDC14/2019,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8209,complete,,,,China,China,,Capra hircus,,8/31/19,,,"Caprine kobuvirus isolate CKoV-China/GCCDC14/2019, complete genome"
OP255993,aichivirus A1,GenBank,,,"Schmitz,D., Zwagemaker,F., van der Veer,B., Vennema,H., Bosch,T., Laros,J.F.J., Koopmans,M.P.G., de Graaf,M., Kroneman,A.","Rijksinstituut voor Volksgezondheid en Milieu, Center for Infectious Diseases",Netherlands,7/1/23,,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8252,complete,,,,Netherlands,Netherlands,,Homo sapiens,feces,12/12/18,,,"Aichivirus A1 strain A_RIVM_R04-15/Hu/NL/2019, complete genome"
ON007233,Porcine kobuvirus,GenBank,,,"Chen,N., Qiu,M., Zhu,J.","Yangzhou University, Preventive Veterinary Medicine",China,6/27/23,XJ1904-34-PKV,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8251,complete,,,,China: Xinjiang,China,,Sus scrofa,,2019-04,,,"Porcine kobuvirus isolate XJ1904-34-PKV, complete genome"
OQ267712,Kobuvirus dekago,GenBank,,,"Yan,N.","Southwest Minzu University, College of Animal & Veterinary Sciences",China,6/14/23,BKV/cow/NXC1/2021/CHN,Kobuvirus dekago,Kobuvirus,Picornaviridae,ssRNA(+),8492,complete,,,,China,China,,,feces,2021-06,,,"Kobuvirus dekago isolate BKV/cow/NXC1/2021/CHN, complete genome"
OQ121963,aichivirus A1,GenBank,,,"Seoyoung,W., Changsun,C.","Chung-Ang University, Food and Nutrition",,5/30/23,hu/C8_Seoul_02/2019,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8228,complete,,,,South Korea,South Korea,,Homo sapiens,feces,2019,,,"Aichi virus 1 isolate hu/C8_Seoul_02/2019, complete genome"
OP805596,Kobuvirus bejaponia,GenBank,,,"Curini,V., Camma,C., Petrini,S., Righi,C.","Istituto Zooprofilattico Sperimentale Dell'umbria E Delle Marche, ""Togo Rosati"", CEREP - CEREL - CRNIBR",Italy,5/13/23,Calf 300917/2021,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8301,complete,,,,Italy: Marche,Italy,,Bovidae,feces,2021,,,"Aichivirus B isolate Calf 300917/2021, complete genome"
OP805597,Kobuvirus bejaponia,GenBank,,,"Curini,V., Camma,C., Di Lollo,V., Torresi,C., Pirani,S., Gobbi,P., Giammarioli,M., Viola,G., Pela,M., Feliziani,F., Petrini,S., Righi,C.","Istituto Zooprofilattico Sperimentale Dell'umbria E Delle Marche, ""Togo Rosati"", CEREP - CEREL - CRNIBR",Italy,5/13/23,Bovine_59254_2/21 TR,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,,Italy: Marche,Italy,,Bos taurus,feces,2021,,,"Aichivirus B isolate Bovine_59254_2/21 TR, complete genome"
OP805598,Kobuvirus bejaponia,GenBank,,,"Curini,V., Camma,C., Di Lollo,V., Torresi,C., Pirani,S., Gobbi,P., Giammarioli,M., Viola,G., Pela,M., Feliziani,F., Petrini,S., Righi,C.","Istituto Zooprofilattico Sperimentale Dell'umbria E Delle Marche, ""Togo Rosati"", CEREP - CEREL - CRNIBR",Italy,5/13/23,Bovine_59254_11/21 TR,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8283,complete,,,,Italy: Marche,Italy,,Bos taurus,feces,2021,,,"Aichivirus B isolate Bovine_59254_11/21 TR, complete genome"
NC_074775,Aichi virus 1,RefSeq,GCF_002817065.1,,"Sasaki,J., Kusuhara,Y., Maeno,Y., Kobayashi,N., Yamashita,T., Sakae,K., Takeda,N., Taniguchi,K.","National Center for Biotechnology Information, NIH",USA,5/4/23,,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8280,complete,,,1,,,,,,,,PRJNA485481,"Aichi virus genomic RNA, complete genome"
OP376931,Caprine kobuvirus,GenBank,,,"Yang,C., Abi,K.H., Tang,C., Yang,F.L.","Southwest Minzu University, College of Animal & Veterinary Sciences",China,4/19/23,CKoV-China/SWUN/B12/2022,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8461,complete,,,,China,China,,Capra hircus,,6/17/21,,,"Caprine kobuvirus isolate CKoV-China/SWUN/B12/2022, complete genome"
OQ363763,Kobuvirus aichi,GenBank,,SRR18668168,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.","South China Agricultural University, Veterinary College",China,4/11/23,GX/B45M0208/2019,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8193,complete,,,,China,China,,Rhizomys pruinosus,,2019-03,SAMN27393642,PRJNA774077,"MAG: Aichivirus A isolate GX/B45M0208/2019, complete genome"
OP094599,Bamboo rat kobuvirus,GenBank,,,"Wang,H., Shen,Y.","College of Veterinary Medicine, South China Agricultural University",China,4/8/23,B45M02,Bamboo rat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8291,complete,,,,China,China,,Rhizomys pruinosus,,2019-03,,,"Bamboo rat kobuvirus isolate B45M02, complete genome"
OP821762,Rabbit picornavirus,GenBank,,SRR22164050,"Lu,X., Dai,Z., Zhang,W.","Jiangsu University, School of Medicine",China,3/6/23,,Kobuvirus ecuni,Kobuvirus,Picornaviridae,ssRNA(+),7875,partial,,,,China:Zhenjiang,China,,Oryctolagus cuniculus,feces,2019,SAMN31578535,PRJNA897333,"Rabbit picornavirus strain UJS-2019 polyprotein gene, complete cds"
ON730709,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,3/1/23,,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8422,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus strain BKV5/2021/CHN, complete genome"
OP920760,Capreolus pygargus kobuvirus,GenBank,,,"Sun,Y.","Changchun Veterinary Institute, Virology",China,2/21/23,CpKoV/XK/CHN/2021,Capreolus pygargus kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8298,complete,,,,China,China,,Capreolus pygargus,,2021,,,"Capreolus pygargus kobuvirus isolate CpKoV/XK/CHN/2021, complete genome"
OP776109,Kobuvirus dekago,GenBank,,,"Yan,N.","Southwest Minzu University, College of Animal & Veterinary Sciences",China,2/15/23,BKV/Yak/SCDF77/2021/CHN,Kobuvirus dekago,Kobuvirus,Picornaviridae,ssRNA(+),8484,complete,,,,China,China,,Bos grunniens,feces,2021-06,,,"Kobuvirus dekago isolate BKV/Yak/SCDF77/2021/CHN, complete genome"
OP776110,Kobuvirus dekago,GenBank,,,"Yan,N.","Southwest Minzu University, College of Animal & Veterinary Sciences",China,2/15/23,BKV/Yak/QHHN16/2021/CHN,Kobuvirus dekago,Kobuvirus,Picornaviridae,ssRNA(+),8484,complete,,,,China,China,,Bos grunniens,feces,2021-06,,,"Kobuvirus dekago isolate BKV/Yak/QHHN16/2021/CHN, complete genome"
OP776111,Kobuvirus dekago,GenBank,,,"Yan,N.","Southwest Minzu University, College of Animal & Veterinary Sciences",China,2/15/23,BKV/Yak/XZNQX7/2021/CHN,Kobuvirus dekago,Kobuvirus,Picornaviridae,ssRNA(+),8477,complete,,,,China,China,,Bos grunniens,feces,2021-06,,,"Kobuvirus dekago isolate BKV/Yak/XZNQX7/2021/CHN, complete genome"
ON168737,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,1/30/23,BKV9/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8355,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV9/2021/CHN, complete genome"
ON168738,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,1/30/23,BKV10/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8370,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV10/2021/CHN, complete genome"
ON168739,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,1/30/23,BKV11/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8325,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV11/2021/CHN, complete genome"
ON168740,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,1/30/23,BKV12/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV12/2021/CHN, complete genome"
ON168741,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,1/30/23,BKV13/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV13/2021/CHN, complete genome"
ON168742,Bovine kobuvirus,GenBank,,,"Yu,S.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,1/30/23,BKV14/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV14/2021/CHN, complete genome"
OP414039,Porcine kobuvirus,GenBank,,SRR21274817,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,1/23/23,PF163/con/PicV6,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8371,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG UNVERIFIED_ASMBLY: Porcine kobuvirus polyprotein gene strain PF163/con/PicV6, complete cds"
OP414059,Porcine kobuvirus,GenBank,,SRR21274780,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,1/23/23,PF161/con/PicV26,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7769,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG UNVERIFIED_ASMBLY: Porcine kobuvirus polyprotein gene strain PF161/con/PicV26, complete cds"
