Accession,Organism_Name,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MK671315,Feline kobuvirus,set:MK671315,,"Yi,S.","Jilin Agricultural University, Animal Science and Technology College",China,2019-10-02,FKV/18CC0718,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8289,GenBank,complete,,,,China: Changchun,China,,Felis catus,feces,2018,,,"Feline kobuvirus isolate FKV/18CC0718, complete genome"
MN116647,Aichivirus A,set:MN116647,,"Boros,A., Orlovacz,K., Pankovics,P., Szekeres,S., Foldvari,G., Fahsbender,E., Delwart,E., Reuter,G.","Medical School, University of Pecs, Medical Microbiology and Immunology",Hungary,2019-08-14,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8268,GenBank,complete,,,1,Hungary,Hungary,,Rattus norvegicus,feces,2018,,,"Aichivirus A strain rat08/rAiA/HUN, complete genome"
MH159813,Feline kobuvirus,set:MH159813,,"Niu,J., Yi,S., Wang,H., Guo,Y., Dong,H., Wang,K., Hu,G.","Jilin Agricultural University, College of Animal Science and Technology",China,2018-10-23,17CC0811,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7618,GenBank,partial,,,,China,China,,Feliformia,,2017,,,"Feline kobuvirus isolate 17CC0811 polyprotein gene, complete cds"
MH159814,Feline kobuvirus,set:MH159814,,"Niu,J., Yi,S., Wang,H., Guo,Y., Dong,H., Wang,K., Hu,G.","Jilin Agricultural University, College of Animal Science and Technology",China,2018-10-23,16JZ0605,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7621,GenBank,partial,,,,China,China,,Feliformia,,2016,,,"Feline kobuvirus isolate 16JZ0605 polyprotein gene, complete cds"
MG009596,Aichi virus 1,set:MG009596,,"Altan,E., Aiemjoy,K., Phan,T.G., Deng,X., Aragie,S., Tadesse,Z., Callahan,K.E., Keenan,J., Delwart,E.","Blood Systems Research Institute, Molecular Virology",USA,2018-09-03,ETH/2016/P4,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8057,GenBank,partial,,,1,Ethiopia,Ethiopia,,Homo sapiens,feces,2016-04,,,"Aichi virus 1 isolate ETH/2016/P4, partial genome"
MG692430,Aichi virus 1,set:MG692430,,"Altan,E., Aiemjoy,K., Phan,T.G., Deng,X., Aragie,S., Tadesse,Z., Callahan,K.E., Keenan,J., Delwart,E.","Blood Systems Research Institute, Molecular Virology",USA,2018-08-07,ETH/2016/P6,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7369,GenBank,partial,,,1,Ethiopia,Ethiopia,,Homo sapiens,feces,2016-04,,,"Aichi virus 1 isolate ETH/2016/P6 polyprotein gene, partial cds"
MG692431,Aichi virus 1,set:MG692431,,"Altan,E., Aiemjoy,K., Phan,T.G., Deng,X., Aragie,S., Tadesse,Z., Callahan,K.E., Keenan,J., Delwart,E.","Blood Systems Research Institute, Molecular Virology",USA,2018-08-07,ETH/2016/P9,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7741,GenBank,partial,,,1,Ethiopia,Ethiopia,,Homo sapiens,feces,2016-04,,,"Aichi virus 1 isolate ETH/2016/P9 polyprotein gene, partial cds"
MF598159,Feline kobuvirus,set:MF598159,,"Lu,G., Zhang,X., Luo,J., Sun,Y., Xu,H., Huang,J., Ou,J., Li,S.","South China Agricultural University, College of Veterinary Medicine",,2018-06-12,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8130,GenBank,complete,,,1,China,China,,Felis catus,feces,2017,,,"Feline kobuvirus strain WHJ-1, complete genome"
MF352432,Aichivirus A,set:MF352432,,"Guo,W.-P., Zhang,Y.-Z.","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Zoonoses",China,2018-05-19,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8295,GenBank,partial,,,,China: Zhejiang,China,,Rattus tanezumi,feces,2012,,,"Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds"
MG200054,Aichivirus A,set:MG200054,,"Northill,J.A., Simmons,R.J.","Queensland Health Forensic and Scientific Services, Public Health Virology",Australia,2018-05-05,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8169,GenBank,partial,,,,Australia,Australia,,Homo sapiens,feces,2008-01,,,"Aichivirus A strain FSS693 polyprotein gene, complete cds"
MF175074,Murine kobuvirus 1,set:MF175074,,"Willams,S.H., Che,X., Garcia,J.A., Klena,J.D., Lee,B., Muller,D., Ulrich,W., Corrigan,R.M., Nichol,S., Jain,K., Lipkin,W.I., Williams,S.H.","Columbia University, Center for Infection & Immunity",USA,2018-04-25,MKV1/NYC/2014/M014/0146,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8099,GenBank,partial,,,,USA,USA,,Mus musculus,feces,2014-08-20,,,"Murine kobuvirus 1 isolate MKV1/NYC/2014/M014/0146, partial genome"
KY432931,aichivirus A7,set:KY432931,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, Moh Key Laboratory of Systems Biology of Pathogens",China,2017-12-04,RtMruf-PicoV/JL2014-2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8184,GenBank,partial,,,1,China,China,,Rodentia,,,,,"Aichivirus A7 isolate RtMruf-PicoV/JL2014-2 polyprotein gene, complete cds"
KM068048,Canine kobuvirus 1,set:KM068048,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,2015-03-03,DD2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,GenBank,complete,,,1,Tanzania,Tanzania,,Canis lupus familiaris,feces,2003-01-20,,,"Canine kobuvirus 1 isolate DD2 polyprotein mRNA, complete cds"
KM068049,Canine kobuvirus 1,set:KM068049,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,2015-03-03,82,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,GenBank,complete,,,1,Tanzania,Tanzania,,Canis adustus,feces,2010-11-20,,,"Canine kobuvirus 1 isolate 82 polyprotein mRNA, complete cds"
KM068050,Canine kobuvirus 1,set:KM068050,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,2015-03-03,75,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,GenBank,complete,,,1,Tanzania,Tanzania,,Canis aureus,feces,2011-01-13,,,"Canine kobuvirus 1 isolate 75 polyprotein mRNA, complete cds"
KM068051,Canine kobuvirus 1,set:KM068051,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,2015-03-03,B103,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,GenBank,complete,,,1,Tanzania,Tanzania,,Crocuta crocuta,feces,2010-03-02,,,"Canine kobuvirus 1 isolate B103 polyprotein mRNA, complete cds"
KM091960,Feline kobuvirus,set:KM091960,,"Di Martino,B., Di Profio,F., Melegari,I., Marsilio,F., Martella,V.","University of Teramo, Scienze Biomediche Comparate",Italy,2014-10-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8219,GenBank,complete,,,1,Italy,Italy,,Felis catus,feces,2013-03,,,"Feline kobuvirus strain FeKoV/TE/52/IT/13, complete genome"
KJ958930,Feline kobuvirus,set:KJ958930,,"Choi,J.W., Lee,M.H., Lee,K.K., Oem,J.K., Choi,J.-W., Lee,M.-H., Lee,K.-K., Oem,J.-K.","Animal Disease Diagnostic Division, Animal and Plant Quarantine Agency",,2014-09-15,12D240,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8291,GenBank,complete,,,1,South Korea,South Korea,,Feliformia,feces,2012,,,"Feline kobuvirus isolate 12D240, complete genome"
KJ934637,aichivirus A5,set:KJ934637,,"Pankovics,P., Boros,A., Kiss,T., Reuter,G.","ANTSZ Baranya County Institute of State Public Health Sevice, Regional Laboratory of Virology",Hungary,2014-08-26,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8251,GenBank,complete,,,1,Hungary,Hungary,,Coracias garrulus,feces,2011-07,,,"Kobuvirus SZAL6-KoV/2011/HUN, complete genome"
JQ911763,Canine kobuvirus CH-1,set:JQ911763,,"Wang,C., Shan,T., Tong,G., He,Q.","Huazhong Agricultural University, State Key Laboratory of Agricultural Microbiology, Division of Animal Infectious Disease",China,2014-05-01,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8216,GenBank,complete,,,,China,China,,Canis lupus familiaris,feces,2011,,,"Canine kobuvirus CH-1, complete genome"
KF831027,aichivirus A4,set:KF831027,,"Cho,Y.Y., Lim,S.I., Kim,Y.K., Song,J.Y., Lee,J.B., An,D.J., Cho,Y.-Y., Lim,S.-I., Lee,J.-J., Kim,Y.-K., Song,J.-Y., Lee,J.-B., An,D.-J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2014-04-01,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8219,GenBank,complete,,,1,South Korea,South Korea,,Feliformia,feces,2011,,,"Feline kobuvirus strain FK-13, complete genome"
JX564249,Aichi virus 1,set:JX564249,,"Chang,J.T., Chen,Y.S., Chen,B.C., Chao,D., Chang,T.H.","Kaohsiung Veterans General Hospital, Department of Pediatrics",Taiwan,2012-11-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8219,GenBank,partial,,,1,Taiwan,Taiwan,,Homo sapiens,feces,2010,,,"Aichi virus strain kvgh99012632/2010 polyprotein gene, complete cds"
JN088541,Canine kobuvirus US-PC0082,set:JN088541,,"Kapoor,A., Simmonds,P., Dubovi,E.J., Qaisar,N., Henriquez,J.A., Medina,J., Shields,S., Lipkin,W.I.","Columbia University, CII",USA,2011-09-14,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8289,GenBank,complete,,,1,USA,USA,,Canis lupus familiaris,feces,2010,,,"Canine kobuvirus US-PC0082, complete genome"
JF755427,aichivirus A3,set:JF755427,,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.","Blood Systems Research Institute, Virology",USA,2011-08-15,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8198,GenBank,complete,,,1,USA,USA,,Peromyscus crinitus,feces,2010,,,"Aichivirus A3 strain M-5 polyprotein gene, complete cds"
JN387133,aichivirus A2,set:JN387133,,"Li,L., Pesavento,P.A., Shan,T., Leutenegger,C.M., Wang,C., Delwart,E.","Blood Systems Research Institute, Department of Laboratory Medicine, University of California-San Francisco",USA,2011-08-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8155,GenBank,partial,,,1,USA,USA,,Canis lupus familiaris,feces,,,,"Kobuvirus dog/AN211D/USA/2009 polyprotein gene, complete cds"
GQ927704,Aichi virus 1,set:GQ927704,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,2010-09-30,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8238,GenBank,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2169/2004 polyprotein gene, complete cds"
GQ927705,Aichi virus 1,set:GQ927705,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,2010-09-30,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8242,GenBank,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2359/2004 polyprotein gene, complete cds"
GQ927706,Aichi virus 1,set:GQ927706,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,2010-09-30,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8228,GenBank,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2321/2004 polyprotein gene, complete cds"
GQ927711,Aichi virus 1,set:GQ927711,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,2010-09-30,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8237,GenBank,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2287/2004 polyprotein gene, complete cds"
GQ927712,Aichi virus 1,set:GQ927712,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,2010-09-30,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8240,GenBank,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2244/2004 polyprotein gene, complete cds"
FJ890523,Aichi virus 1,set:FJ890523,,"Yang,S., Zhang,W., Shen,Q., Yang,Z., Zhu,J., Cui,L., Hua,X.","Shanghai Jiaotong University, School of Agriculture and Biology",,2009-10-06,Chshc7,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8244,GenBank,complete,,,1,China,China,,Homo sapiens,,2008,,,"Aichi virus isolate Chshc7, complete genome"
DQ028632,Aichi virus 1,set:DQ028632,,"Oh,D.Y., Silva,P.A., Hauroeder,B., Diedrich,S., Cardoso,D.D., Schreier,E., Cardoso,D.D.P.","Robert Koch Institute, Molecular Epidemiology of Viral Pathogens",Germany,2005-05-29,Goiania/GO/03/01/Brazil,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8266,GenBank,complete,,,1,Brazil,Brazil,,,feces,,,,"Aichi virus isolate Goiania/GO/03/01/Brazil, complete genome"
AY747174,Aichi virus 1,set:AY747174,,"Oh,D.Y., Silva,P.A., Hauroeder,B., Diedrich,S., Cardoso,D.D., Schreier,E., Oh,D.-Y.","Robert Koch Institute, Molecular Epidemiology of Viral Pathogens",Germany,2004-10-18,BAY/1/03/DEU,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8266,GenBank,partial,,,1,Germany,Germany,,,,,,,"Aichi virus isolate BAY/1/03/DEU from Germany polyprotein gene, complete cds"
AB040749,Aichi virus 1,set:AB040749,,"Sasaki,J., Kusuhara,Y., Maeno,Y., Kobayashi,N., Yamashita,T., Sakae,K., Takeda,N., Taniguchi,K.","Jun Sasaki, Fujita Health University, Department of Virology and Parasitology, School of Medicine; Dengakugakubo 1-98, Kutsukake-cho, Toyoake, Aichi 470-1192",Japan,2001-08-15,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8280,GenBank,complete,,,1,,,,,,,,,"Aichi virus genomic RNA, complete genome"
AB010145,Aichi virus 1,set:AB010145,,"Yamashita,T., Sakae,K., Tsuzuki,H., Suzuki,Y., Ishikawa,N., Takeda,N., Miyamura,T., Yamazaki,S.","Department of Virology; Nagare 7-6, Tsujimachi, Kita-ku, Nagoya, Aichi 462",Japan,1998-07-09,A846/88,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8251,GenBank,complete,,,1,,,,Homo sapiens,,,,,"Aichi virus genomic RNA, complete genome"
MW605074,Bovine kobuvirus,,,"Savard,C., Ariel,O., Fredrickson,R., Wang,L., Broes,A., Fredrickson,R.L.","University of Illinois, Veterinary Diagnostic Laboratory",USA,2021-10-11,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8329,GenBank,complete,,,1,Canada,Canada,,Bos taurus,feces,,,,"Bovine kobuvirus strain 1043507, complete genome"
MZ603734,Bovine kobuvirus,,,"Wu,Q., Li,J., Wang,W., Zhou,J., Wang,D., Fan,B., Zhang,X., Sun,D., Gong,G., Suolang,S., Li,B., Zhou,J.Z., Li,J.Z.","Jiangsu Academy of Agricultural Sciences, Institute of Veterinary Medicine",China,2021-10-05,BKoV/CN/HB-SJZ/2021,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8376,GenBank,complete,,,,China,China,,Bos taurus,,2021,,,"Bovine kobuvirus isolate BKoV/CN/HB-SJZ/2021, complete genome"
MN336260,Bovine kobuvirus,set:MN336260,,"Wang,L., Fredrickson,R., Duncan,M., Samuelson,J., Hsiao,S.-H.","University of Illinois, Veterinary Diagnostic Laboratory",USA,2019-12-31,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8337,GenBank,complete,,,,USA: Illinois,USA,IL,Bos taurus,feces,2019,,,"Bovine kobuvirus strain IL35164, complete genome"
MK080265,Bovine kobuvirus,set:MK080265,,"L,H., T,C., Y,H.","College of Life Science and Technology, Southwest Minzu Universty",China,2019-01-16,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),7907,GenBank,partial,,,,China,China,,Bos taurus,feces,2018-02-28,,,"Bovine kobuvirus polyprotein gene, complete cds"
KY407744,Bovine kobuvirus,set:KY407744,,"Mohamed,F.F., Mansour,S.M.G., Orabi,A., El-Araby,I.E., Ng,T.F.F., Mor,S.K., Goyal,S.M.","Faculty of Veterinary Medicine, Zagazig University, Department of Virology",Egypt,2017-06-30,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8319,GenBank,complete,,,1,Egypt,Egypt,,Bos taurus,feces,2014,,,"Bovine kobuvirus strain BKoV/EGY-1, complete genome"
KT003671,Bovine kobuvirus,set:KT003671,,"Gregory,W.F., Dulwich,K., Mason,C., Beard,P.M., Sharp,C.P.","The Roslin Institute, University of Edinburgh, Infection and Immunity",,2015-11-08,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8293,GenBank,partial,,,,United Kingdom,United Kingdom,,Bos taurus,feces,2013,,,"Bovine kobuvirus polyprotein gene, complete cds"
KF006985,aichivirus B2,set:KF006985,,"Smits,S.L., Raj,V.S., Oduber,M.D., Schapendonk,C.M., Bodewes,R., Provacia,L., Stittelaar,K.J., Osterhaus,A.D., Haagmans,B.L., Raj,S.V., Oduber,M., Schapendonk,C.M.E., Osterhaus,A.D.M.E.","Erasmus Medical Center, Virology",Netherlands,2013-09-04,MpKoV38,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8052,GenBank,partial,,,1,Netherlands,Netherlands,,Mustela putorius furo,feces,2010,,,"Ferret kobuvirus isolate MpKoV38 polyprotein gene, complete cds"
GU245693,aichivirus B3,set:GU245693,,"Reuter,G., Boros,A., Pankovics,P., Egyed,L.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,2010-05-04,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8378,GenBank,complete,,,1,Hungary,Hungary,,Ovis aries,feces,2009,,,"Aichivirus B3 strain sheep/TB3/HUN/2009, complete genome"
